tag,count,Price,Percent_change_1h,Market_cap_usd,Time
#bitcoin,28,7534.64013671875,-0.07999999821186066,128655671296.0,00:23
#tron,14,0.05946379899978638,0.3100000023841858,3909632512.0,00:23
#ethereum,10,595.9450073242188,-0.23000000417232513,59517681664.0,00:23
#ripple,4,0.6661909818649292,-0.6700000166893005,26142351360.0,00:23
#eos,1,13.659199714660645,-0.6899999976158142,12240685056.0,00:23
#stellar,1,0.2946540117263794,0.41999998688697815,5474599936.0,00:23
#litecoin,1,119.802001953125,-0.05000000074505806,6808853504.0,00:23
#bitcoin,15,7534.64013671875,-0.07999999821186066,128655671296.0,00:24
#tron,9,0.05946379899978638,0.3100000023841858,3909632512.0,00:24
#ethereum,8,595.9450073242188,-0.23000000417232513,59517681664.0,00:24
#ripple,3,0.6661909818649292,-0.6700000166893005,26142351360.0,00:24
#eos,1,13.659199714660645,-0.6899999976158142,12240685056.0,00:24
#litecoin,1,119.802001953125,-0.05000000074505806,6808853504.0,00:24
#bitcoin,21,7530.8701171875,-0.14000000059604645,128591298560.0,00:25
#tron,9,0.05946059897542,0.23000000417232513,3909422080.0,00:25
#ethereum,9,595.06201171875,-0.4000000059604645,59429494784.0,00:25
#ripple,4,0.6671109795570374,-0.6200000047683716,26178453504.0,00:25
#eos,2,13.674599647521973,-0.5899999737739563,12254485504.0,00:25
#iota,1,1.7272299528121948,-0.7200000286102295,4800888320.0,00:25
#litecoin,1,119.68900299072266,-0.17000000178813934,6802431488.0,00:25
#bitcoin,27,7530.8701171875,-0.14000000059604645,128591298560.0,00:26
#ethereum,12,595.06201171875,-0.4000000059604645,59429494784.0,00:26
#tron,7,0.05946059897542,0.23000000417232513,3909422080.0,00:26
#ripple,7,0.6671109795570374,-0.6200000047683716,26178453504.0,00:26
#litecoin,3,119.68900299072266,-0.17000000178813934,6802431488.0,00:26
#eos,2,13.674599647521973,-0.5899999737739563,12254485504.0,00:26
#iota,1,1.7272299528121948,-0.7200000286102295,4800888320.0,00:26
#bitcoin,24,7530.8701171875,-0.14000000059604645,128591298560.0,00:27
#ripple,10,0.6671109795570374,-0.6200000047683716,26178453504.0,00:27
#ethereum,10,595.06201171875,-0.4000000059604645,59429494784.0,00:27
#tron,7,0.05946059897542,0.23000000417232513,3909422080.0,00:27
#eos,3,13.674599647521973,-0.5899999737739563,12254485504.0,00:27
#litecoin,3,119.68900299072266,-0.17000000178813934,6802431488.0,00:27
#iota,1,1.7272299528121948,-0.7200000286102295,4800888320.0,00:27
#bitcoin,35,7530.8701171875,-0.14000000059604645,128591298560.0,00:28
#tron,11,0.05946059897542,0.23000000417232513,3909422080.0,00:28
#ripple,10,0.6671109795570374,-0.6200000047683716,26178453504.0,00:28
#ethereum,9,595.06201171875,-0.4000000059604645,59429494784.0,00:28
#eos,3,13.674599647521973,-0.5899999737739563,12254485504.0,00:28
#stellar,1,0.29429998993873596,0.25999999046325684,5468022784.0,00:28
#litecoin,1,119.68900299072266,-0.17000000178813934,6802431488.0,00:28
#iota,1,1.7272299528121948,-0.7200000286102295,4800888320.0,00:28
#bitcoin,36,7530.8701171875,-0.14000000059604645,128591298560.0,00:29
#tron,12,0.05946059897542,0.23000000417232513,3909422080.0,00:29
#ethereum,12,595.06201171875,-0.4000000059604645,59429494784.0,00:29
#ripple,8,0.6671109795570374,-0.6200000047683716,26178453504.0,00:29
#eos,7,13.674599647521973,-0.5899999737739563,12254485504.0,00:29
#stellar,1,0.29429998993873596,0.25999999046325684,5468022784.0,00:29
#iota,1,1.7272299528121948,-0.7200000286102295,4800888320.0,00:29
#bitcoin,30,7524.52001953125,-0.25,128482869248.0,00:30
#ethereum,14,594.8720092773438,-0.5,59410518016.0,00:30
#tron,13,0.05939429998397827,0.05999999865889549,3905063168.0,00:30
#eos,7,13.67300033569336,-0.6499999761581421,12253051904.0,00:30
#ripple,3,0.6680020093917847,-0.9800000190734863,26213416960.0,00:30
#iota,3,1.7285699844360352,-0.7200000286102295,4804612608.0,00:30
#litecoin,2,119.57099914550781,-0.3199999928474426,6795724800.0,00:30
#bitcoin,59,7524.52001953125,-0.25,128482869248.0,00:31
#ethereum,25,594.8720092773438,-0.5,59410518016.0,00:31
#tron,18,0.05939429998397827,0.05999999865889549,3905063168.0,00:31
#ripple,4,0.6680020093917847,-0.9800000190734863,26213416960.0,00:31
#litecoin,4,119.57099914550781,-0.3199999928474426,6795724800.0,00:31
#eos,3,13.67300033569336,-0.6499999761581421,12253051904.0,00:31
#iota,3,1.7285699844360352,-0.7200000286102295,4804612608.0,00:31
#cardano,1,0.2151319980621338,-0.4399999976158142,5577742336.0,00:31
#bitcoin,58,7524.52001953125,-0.25,128482869248.0,00:32
#ethereum,29,594.8720092773438,-0.5,59410518016.0,00:32
#tron,22,0.05939429998397827,0.05999999865889549,3905063168.0,00:32
#ripple,8,0.6680020093917847,-0.9800000190734863,26213416960.0,00:32
#litecoin,4,119.57099914550781,-0.3199999928474426,6795724800.0,00:32
#eos,3,13.67300033569336,-0.6499999761581421,12253051904.0,00:32
#iota,2,1.7285699844360352,-0.7200000286102295,4804612608.0,00:32
#cardano,1,0.2151319980621338,-0.4399999976158142,5577742336.0,00:32
#bitcoin,38,7524.52001953125,-0.25,128482869248.0,00:33
#tron,19,0.05939429998397827,0.05999999865889549,3905063168.0,00:33
#ethereum,18,594.8720092773438,-0.5,59410518016.0,00:33
#ripple,8,0.6680020093917847,-0.9800000190734863,26213416960.0,00:33
#litecoin,4,119.57099914550781,-0.3199999928474426,6795724800.0,00:33
#iota,3,1.7285699844360352,-0.7200000286102295,4804612608.0,00:33
#eos,2,13.67300033569336,-0.6499999761581421,12253051904.0,00:33
#bitcoin,37,7524.52001953125,-0.25,128482869248.0,00:34
#ethereum,15,594.8720092773438,-0.5,59410518016.0,00:34
#tron,9,0.05939429998397827,0.05999999865889549,3905063168.0,00:34
#ripple,9,0.6680020093917847,-0.9800000190734863,26213416960.0,00:34
#iota,4,1.7285699844360352,-0.7200000286102295,4804612608.0,00:34
#litecoin,4,119.57099914550781,-0.3199999928474426,6795724800.0,00:34
#eos,3,13.67300033569336,-0.6499999761581421,12253051904.0,00:34
#bitcoin,35,7522.740234375,-0.3199999928474426,128452476928.0,00:36
#tron,17,0.05940200015902519,-0.019999999552965164,3905569280.0,00:36
#ethereum,7,595.094970703125,-0.4699999988079071,59432787968.0,00:36
#ripple,6,0.6685180068016052,-0.9700000286102295,26233665536.0,00:36
#stellar,5,0.29420900344848633,0.03999999910593033,5466332160.0,00:36
